"","GEOID","county","state","variable","estimate","moe","variable_description","county_state"
"277","08063","Kit","County","B19301_001",27471,6090,"Income Per Capita","Kit, County"
"278","08065","Lake","Colorado","B19301_001",28062,3714,"Income Per Capita","Lake, Colorado"
"279","08067","La","County","B19301_001",37864,2105,"Income Per Capita","La, County"
"280","08069","Larimer","Colorado","B19301_001",35390,655,"Income Per Capita","Larimer, Colorado"
"281","08071","Las","County","B19301_001",25118,1677,"Income Per Capita","Las, County"
"282","08073","Lincoln","Colorado","B19301_001",16219,6702,"Income Per Capita","Lincoln, Colorado"
"283","08075","Logan","Colorado","B19301_001",25776,1558,"Income Per Capita","Logan, Colorado"
"284","08077","Mesa","Colorado","B19301_001",28518,715,"Income Per Capita","Mesa, Colorado"
"285","08079","Mineral","Colorado","B19301_001",35229,3802,"Income Per Capita","Mineral, Colorado"
"286","08081","Moffat","Colorado","B19301_001",27845,1835,"Income Per Capita","Moffat, Colorado"
"287","08083","Montezuma","Colorado","B19301_001",25161,1044,"Income Per Capita","Montezuma, Colorado"
"288","08085","Montrose","Colorado","B19301_001",25803,1123,"Income Per Capita","Montrose, Colorado"
"289","08087","Morgan","Colorado","B19301_001",24189,1328,"Income Per Capita","Morgan, Colorado"
"290","08089","Otero","Colorado","B19301_001",20109,1188,"Income Per Capita","Otero, Colorado"
"291","08091","Ouray","Colorado","B19301_001",36138,2974,"Income Per Capita","Ouray, Colorado"
"292","08093","Park","Colorado","B19301_001",35939,3339,"Income Per Capita","Park, Colorado"
"293","08095","Phillips","Colorado","B19301_001",29236,4056,"Income Per Capita","Phillips, Colorado"
"294","08097","Pitkin","Colorado","B19301_001",56180,7246,"Income Per Capita","Pitkin, Colorado"
"295","08099","Prowers","Colorado","B19301_001",21612,1207,"Income Per Capita","Prowers, Colorado"
"296","08101","Pueblo","Colorado","B19301_001",24257,485,"Income Per Capita","Pueblo, Colorado"
"297","08103","Rio","County","B19301_001",27057,2298,"Income Per Capita","Rio, County"
"298","08105","Rio","County","B19301_001",22413,1387,"Income Per Capita","Rio, County"
"299","08107","Routt","Colorado","B19301_001",40727,2680,"Income Per Capita","Routt, Colorado"
"300","08109","Saguache","Colorado","B19301_001",22901,3181,"Income Per Capita","Saguache, Colorado"
"301","08111","San","County","B19301_001",33984,5717,"Income Per Capita","San, County"
